Altium Designer Pick and Place Locations
C:\Users\xia_t\Desktop\Projects\riscv\rv32i_dev\Hardware\rv32i_altium\Project Outputs for rv32i_altium\Pick Place for fpga.csv

========================================================================================================================
File Design Information:

Date:       10/02/22
Time:       17:51
Revision:   4fab57b78139fbc16e80b45101151ef974a79823
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U3","LD1117S12TR","TopLayer","SOT-223_M","45.0338","79.8072","315","Fixed Low Drop Positive Voltage Regulator, 1.2V, 4-Pin SOT-223, Tape and Reel"
"D2","?? 0603","TopLayer","0603_LED_S1","37.4650","86.7410","45","?????"
"R1","10KO (1002) ±1%","TopLayer","0603_R","81.6610","38.6000","270","????"
"C3","10uF (106) 10% 10V","TopLayer","0603_C","36.9570","81.1530","135","????"
"P4","61301011121","TopLayer","61301011121","60.9600","94.6150","180","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 25 pins"
"U2","LD1117D33TR","TopLayer","FP-SO-8-0016023-MFG","41.7830","85.7250","45","IC REG LINEAR 3.3V 800MA 8SO"
"U1","ICE40HX1K-TQ144","TopLayer","LATC-TQFP-144_L","60.9600","60.9600","0","iCE40 HX1K Series FPGA Family, 1280 Logic Cells, 1.2 V Core, 64 K Embedded RAM Bits, 144-pin TQFP, Pb-Free, Tray"
"R3","10KO (1002) ±1%","TopLayer","0603_R","70.7390","46.3550","270","????"
"R2","10KO (1002) ±1%","TopLayer","0603_R","79.5020","38.6080","270","????"
"P3","61301011121","TopLayer","61301011121","94.6150","60.9600","90","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 25 pins"
"P2","61301011121","TopLayer","61301011121","60.9600","27.3050","0","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 25 pins"
"P1","61301011121","TopLayer","61301011121","27.3050","60.9600","270","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 25 pins"
"IC3","W25Q16JVSSIQ","TopLayer","SOIC127P790X216-8N","73.4060","41.7830","0",""
"D1","1N4148W-13-F","TopLayer","FP-SOD123-MFG","73.9140","72.3900","90","DIODE GEN PURP 100V 150MA SOD123"
"C2","1uF (105) 10% 50V","TopLayer","0603_C","38.3540","82.5500","135","????"
"C1","1uF (105) 10% 50V","TopLayer","0603_C","48.9855","82.2055","135","????"
